Region: ,Count: 
fr0, 700
fr1, 614
fr2, 479
fr3, 442
fr4, 423
fr5, 403
fr6, 384
fr7, 379
fr8, 377
fr9, 364
fr10, 363
fr11, 339
fr12, 341
fr13, 334
fr14, 331
fr15, 327
fr16, 321
fr17, 315
fr18, 314
fr19, 307
fr20, 306
fr21, 305
fr22, 301
fr23, 297
fr24, 292
fr25, 292
fr26, 290
fr27, 278
fr28, 276
fr29, 276
fr30, 273
fr31, 272
fr32, 261
fr33, 260
fr34, 259
fr35, 259
fr36, 254
fr37, 253
fr38, 252
fr39, 248
fr40, 243
fr41, 243
fr42, 241
fr43, 237
fr44, 234
fr45, 232
fr46, 231
fr47, 229
fr48, 229
fr49, 229
fr50, 227
fr51, 226
fr52, 226
fr53, 225
fr54, 225
fr55, 224
fr56, 223
fr57, 222
fr58, 222
fr59, 222
fr60, 221
fr61, 221
fr62, 221
fr63, 220
fr64, 219
fr65, 219
fr66, 219
fr67, 218
fr68, 217
fr69, 217
fr70, 217
fr71, 216
fr72, 216
fr73, 216
fr74, 216
fr75, 216
fr76, 215
fr77, 214
fr78, 214
fr79, 213
fr80, 213
fr81, 212
fr82, 212
fr83, 212
fr84, 211
fr85, 211
fr86, 211
fr87, 211
fr88, 210
fr89, 210
fr90, 209
fr91, 209
fr92, 208
fr93, 208
fr94, 208
fr95, 208
fr96, 207
fr97, 207
fr98, 207
fr99, 207
fr100, 206
fr101, 206
fr102, 206
fr103, 206
fr104, 205
fr105, 205
fr106, 205
fr107, 204
fr108, 204
fr109, 204
fr110, 204
fr111, 204
fr112, 203
fr113, 203
fr114, 203
fr115, 203
fr116, 203
fr117, 203
fr118, 202
fr119, 202
fr120, 202
fr121, 202
fr122, 202
fr123, 202
fr124, 201
fr125, 201
fr126, 201
fr127, 201
fr128, 200
fr129, 200
fr130, 200
fr131, 200
fr132, 200
fr133, 200
fr134, 200
fr135, 200
fr136, 199
fr137, 199
fr138, 199
fr139, 199
fr140, 199
fr141, 199
fr142, 199
fr143, 199
fr144, 198
fr145, 198
fr146, 198
fr147, 198
fr148, 198
fr149, 197
fr150, 197
fr151, 197
fr152, 196
fr153, 196
fr154, 196
fr155, 196
fr156, 196
fr157, 196
fr158, 196
fr159, 196
fr160, 196
fr161, 196
fr162, 195
fr163, 195
fr164, 195
fr165, 195
fr166, 195
fr167, 195
fr168, 195
fr169, 194
fr170, 194
fr171, 194
fr172, 194
fr173, 193
fr174, 193
fr175, 193
fr176, 193
fr177, 193
fr178, 193
fr179, 193
fr180, 193
fr181, 193
fr182, 192
fr183, 192
fr184, 192
fr185, 192
fr186, 192
fr187, 192
fr188, 192
fr189, 192
fr190, 192
fr191, 191
fr192, 191
fr193, 191
fr194, 191
fr195, 191
fr196, 191
fr197, 191
fr198, 191
fr199, 191
fr200, 191
fr201, 190
fr202, 190
fr203, 190
fr204, 190
fr205, 189
fr206, 189
fr207, 189
fr208, 189
fr209, 189
fr210, 189
fr211, 189
fr212, 189
fr213, 189
fr214, 189
fr215, 189
fr216, 188
fr217, 188
fr218, 188
fr219, 168
fr220, 3
fr221, 1
